train,test
5.185365676879882812e-01,5.167999863624572754e-01
5.190243721008300781e-01,5.167999863624572754e-01
5.198048353195190430e-01,5.167999863624572754e-01
5.191219449043273926e-01,5.167999863624572754e-01
5.196097493171691895e-01,5.167999863624572754e-01
5.204877853393554688e-01,5.159999728202819824e-01
5.367804765701293945e-01,5.180000066757202148e-01
5.559024214744567871e-01,5.295999646186828613e-01
5.891706943511962891e-01,5.303999781608581543e-01
6.152194738388061523e-01,5.464000105857849121e-01
6.369755864143371582e-01,5.575999617576599121e-01
6.608780026435852051e-01,5.519999861717224121e-01
6.832194924354553223e-01,5.523999929428100586e-01
7.063414454460144043e-01,5.519999861717224121e-01
7.256585359573364258e-01,5.491999983787536621e-01
7.479023933410644531e-01,5.479999780654907227e-01
7.751219272613525391e-01,5.455999970436096191e-01
8.014633655548095703e-01,5.536000132560729980e-01
8.180487751960754395e-01,5.511999726295471191e-01
8.400975465774536133e-01,5.419999957084655762e-01
8.502438664436340332e-01,5.471999645233154297e-01
8.638048768043518066e-01,5.388000011444091797e-01
8.560975193977355957e-01,5.396000146865844727e-01
8.851706981658935547e-01,5.447999835014343262e-01
8.592194914817810059e-01,5.379999876022338867e-01
8.953170180320739746e-01,5.467999577522277832e-01
9.066340923309326172e-01,5.455999970436096191e-01
8.828292489051818848e-01,5.451999902725219727e-01
9.150243401527404785e-01,5.455999970436096191e-01
9.157072901725769043e-01,5.375999808311462402e-01
9.227316975593566895e-01,5.383999943733215332e-01
9.319999814033508301e-01,5.455999970436096191e-01
9.340487718582153320e-01,5.460000038146972656e-01
9.274145960807800293e-01,5.467999577522277832e-01
9.336584806442260742e-01,5.399999618530273438e-01
9.363902211189270020e-01,5.375999808311462402e-01
9.447804689407348633e-01,5.347999930381774902e-01
9.516097307205200195e-01,5.447999835014343262e-01
9.547317028045654297e-01,5.451999902725219727e-01
9.546341300010681152e-01,5.435999631881713867e-01
9.414634108543395996e-01,5.424000024795532227e-01
9.612682461738586426e-01,5.443999767303466797e-01
9.620487689971923828e-01,5.392000079154968262e-01
9.631219506263732910e-01,5.471999645233154297e-01
9.651706814765930176e-01,5.507999658584594727e-01
9.647804498672485352e-01,5.439999699592590332e-01
9.668292403221130371e-01,5.411999821662902832e-01
9.636097550392150879e-01,5.343999862670898438e-01
9.633170366287231445e-01,5.371999740600585938e-01
9.658536314964294434e-01,5.367999672889709473e-01
