train,test
2.768409106789565793e-03,2.773868799209594851e-03
2.768184690940670920e-03,2.774226522445678595e-03
2.767857848144158941e-03,2.773585581779479912e-03
2.767885574480382412e-03,2.773439407348632629e-03
2.764040406157330584e-03,2.774001741409301905e-03
2.755360138125535849e-03,2.776140594482421915e-03
2.743627862232487450e-03,2.776301145553588829e-03
2.718061359917245227e-03,2.774877500534057590e-03
2.672541310147541396e-03,2.788508296012878578e-03
2.612360233213843405e-03,2.810396313667297159e-03
2.564458486510486340e-03,2.783102297782898138e-03
2.505933459212140221e-03,2.814882874488830629e-03
2.426385280562610124e-03,2.878103685379028182e-03
2.352354875425012939e-03,2.894413661956787322e-03
2.239754618667974539e-03,3.024051427841186346e-03
2.134197711944580116e-03,3.147951292991638290e-03
2.011474440737468297e-03,3.220632719993591405e-03
1.876475523157817476e-03,3.292447280883788879e-03
1.764375299942202687e-03,3.536341977119445822e-03
1.627589155987995339e-03,3.640832090377807764e-03
1.542819875042612983e-03,3.735010528564453036e-03
1.435417925439229836e-03,3.875383234024048010e-03
1.467320837625643148e-03,4.285506582260132161e-03
1.262408314681634719e-03,4.454061055183410403e-03
1.444173873924627528e-03,4.447974586486816082e-03
1.162621877542356240e-03,4.619049263000488646e-03
1.102578871133850927e-03,4.465027356147766545e-03
1.219805473234595412e-03,4.713676357269287048e-03
9.674987749355595280e-04,5.293902540206909223e-03
9.315160076792647391e-04,5.273436212539672763e-03
8.957117127209175385e-04,5.606848001480102713e-03
8.063476579945261713e-04,5.654046964645385517e-03
7.803338373579630496e-04,5.881413698196411542e-03
8.452759356033511277e-04,5.740311574935912792e-03
7.785662732473233811e-04,5.900763320922851503e-03
7.515965751031549770e-04,6.239276075363159486e-03
6.603123080439684016e-04,6.420007562637329232e-03
5.930853195306731111e-04,6.584497213363647850e-03
5.732130008499796347e-04,6.655725240707397079e-03
5.500995545852474826e-04,7.105560541152954393e-03
6.595120873393082138e-04,6.900319099426269545e-03
4.902109507380462711e-04,7.106595754623413509e-03
4.970894732126375157e-04,6.873919010162353634e-03
4.649085224401659864e-04,7.486352539062500304e-03
4.487987197026973760e-04,7.505296659469604635e-03
4.460604208998563856e-04,7.614591360092163100e-03
4.346792879627972062e-04,7.312725591659545964e-03
4.544712105175344142e-04,7.588459539413451929e-03
4.432136082067722450e-04,7.871964740753174469e-03
4.143536759585869102e-04,7.895675897598266116e-03
