train,test
2.769148809153859289e-03,2.772631692886352688e-03
2.768960220057789696e-03,2.774290251731872763e-03
2.769918662745778082e-03,2.774973511695861920e-03
2.768098738135361080e-03,2.772951960563659491e-03
2.768041564197075075e-03,2.773122525215148976e-03
2.767858964640919871e-03,2.773878407478332347e-03
2.764161365788157364e-03,2.772937393188476627e-03
2.747867607488864959e-03,2.764896488189697195e-03
2.741026808575886074e-03,2.759013390541076739e-03
2.718729525077633741e-03,2.756482934951782430e-03
2.699106821199742916e-03,2.766930532455444229e-03
2.680736565008395942e-03,2.745820736885070702e-03
2.682685817160257620e-03,2.751297998428344545e-03
2.661179315753099510e-03,2.747214102745055946e-03
2.682726336688530215e-03,2.738708901405334344e-03
2.694812059402466008e-03,2.774658966064452986e-03
2.663188184179910833e-03,2.751414418220520051e-03
2.665757592131451879e-03,2.733894371986389342e-03
2.632499840201401025e-03,2.780135846138000362e-03
2.577493592006404113e-03,2.783306336402893103e-03
2.581944343520373684e-03,2.783167052268982131e-03
2.530701869871558249e-03,2.815348792076110933e-03
2.528350103192212976e-03,2.774399638175964206e-03
2.523168150971575631e-03,2.860901260375976751e-03
2.443931538884232691e-03,2.829466795921325474e-03
2.417382635721346262e-03,2.889986348152160517e-03
2.372963440127489210e-03,2.900853729248047044e-03
2.408581902341144863e-03,2.940315914154052572e-03
2.319837488779207587e-03,2.979211950302124157e-03
2.271594102789716019e-03,2.993550896644592112e-03
2.269875904408896923e-03,2.957303071022033842e-03
2.245521432015954149e-03,3.001317691802978492e-03
2.173652962940495013e-03,3.184041810035705480e-03
2.147727969216137352e-03,3.110452961921691701e-03
2.127463852486959506e-03,3.028996562957763684e-03
2.063569266621659553e-03,3.084206867218017376e-03
2.016568146100858241e-03,3.143494391441345199e-03
2.059025008503983459e-03,3.224257874488830646e-03
1.938185424339480475e-03,3.314280796051025189e-03
1.950219395684032846e-03,3.283541274070739691e-03
1.882726529749428283e-03,3.465922760963440017e-03
1.871355708052472450e-03,3.383608651161193730e-03
1.800828913363014755e-03,3.428986096382141170e-03
1.727793926145972233e-03,3.659193611145019395e-03
1.807023545590842736e-03,3.385037803649902297e-03
1.844270659656059444e-03,3.293002343177795378e-03
1.685845072676495733e-03,3.839414238929748577e-03
1.630845418790491559e-03,3.606040191650390463e-03
1.654676981088591767e-03,3.829240226745605612e-03
1.547841772800538510e-03,3.713273119926452457e-03
